f0_feature,timestamp,f0_value,f1_feature,f1_value,f2_feature,f2_value
update_count,2005-05-24 00:51:00,731,announcement_count,608,withdrawal_count,74
update_count,2005-05-24 00:52:00,928,announcement_count,847,withdrawal_count,55
update_count,2005-05-24 00:53:00,670,announcement_count,587,withdrawal_count,27
update_count,2005-05-24 00:54:00,710,announcement_count,610,withdrawal_count,80
update_count,2005-05-24 00:55:00,724,announcement_count,630,withdrawal_count,46
update_count,2005-05-24 00:56:00,663,announcement_count,578,withdrawal_count,59
update_count,2005-05-24 00:57:00,987,announcement_count,898,withdrawal_count,35
update_count,2005-05-24 00:58:00,574,announcement_count,498,withdrawal_count,50
update_count,2005-05-24 00:59:00,688,announcement_count,599,withdrawal_count,40
update_count,2005-05-24 01:00:00,652,announcement_count,573,withdrawal_count,46
update_count,2005-05-24 01:01:00,662,announcement_count,576,withdrawal_count,42
update_count,2005-05-24 01:02:00,676,announcement_count,564,withdrawal_count,82
update_count,2005-05-24 01:03:00,617,announcement_count,527,withdrawal_count,40
update_count,2005-05-24 01:04:00,560,announcement_count,482,withdrawal_count,52
update_count,2005-05-24 01:05:00,494,announcement_count,407,withdrawal_count,35
update_count,2005-05-24 01:06:00,844,announcement_count,770,withdrawal_count,48
update_count,2005-05-24 01:07:00,1087,announcement_count,1006,withdrawal_count,33
update_count,2005-05-24 01:08:00,648,announcement_count,585,withdrawal_count,33
update_count,2005-05-24 01:09:00,556,announcement_count,469,withdrawal_count,43
update_count,2005-05-24 01:10:00,582,announcement_count,502,withdrawal_count,49
update_count,2005-05-24 01:11:00,458,announcement_count,398,withdrawal_count,12
update_count,2005-05-24 01:12:00,735,announcement_count,649,withdrawal_count,59
update_count,2005-05-24 01:13:00,697,announcement_count,573,withdrawal_count,72
update_count,2005-05-24 01:14:00,1571,announcement_count,1480,withdrawal_count,61
update_count,2005-05-24 01:15:00,571,announcement_count,465,withdrawal_count,67
update_count,2005-05-24 01:16:00,513,announcement_count,434,withdrawal_count,42
update_count,2005-05-24 01:17:00,641,announcement_count,547,withdrawal_count,66
update_count,2005-05-24 01:18:00,1137,announcement_count,1038,withdrawal_count,48
update_count,2005-05-24 01:19:00,466,announcement_count,424,withdrawal_count,14
update_count,2005-05-24 01:20:00,584,announcement_count,478,withdrawal_count,55
update_count,2005-05-24 01:21:00,1139,announcement_count,1103,withdrawal_count,8
update_count,2005-05-24 01:22:00,694,announcement_count,600,withdrawal_count,48
update_count,2005-05-24 01:23:00,1025,announcement_count,956,withdrawal_count,37
update_count,2005-05-24 01:24:00,541,announcement_count,432,withdrawal_count,63
update_count,2005-05-24 01:25:00,535,announcement_count,481,withdrawal_count,24
update_count,2005-05-24 01:26:00,711,announcement_count,623,withdrawal_count,39
update_count,2005-05-24 01:27:00,622,announcement_count,563,withdrawal_count,33
update_count,2005-05-24 01:28:00,718,announcement_count,570,withdrawal_count,100
update_count,2005-05-24 01:29:00,1159,announcement_count,1101,withdrawal_count,30
update_count,2005-05-24 01:30:00,1131,announcement_count,995,withdrawal_count,87
update_count,2005-05-24 01:31:00,935,announcement_count,845,withdrawal_count,60
update_count,2005-05-24 01:32:00,699,announcement_count,596,withdrawal_count,53
update_count,2005-05-24 01:33:00,559,announcement_count,487,withdrawal_count,42
update_count,2005-05-24 01:34:00,646,announcement_count,534,withdrawal_count,70
update_count,2005-05-24 01:35:00,675,announcement_count,536,withdrawal_count,105
update_count,2005-05-24 01:36:00,516,announcement_count,426,withdrawal_count,48
update_count,2005-05-24 01:37:00,525,announcement_count,463,withdrawal_count,31
update_count,2005-05-24 01:38:00,849,announcement_count,781,withdrawal_count,20
update_count,2005-05-24 01:39:00,535,announcement_count,472,withdrawal_count,35
update_count,2005-05-24 01:40:00,768,announcement_count,693,withdrawal_count,29
update_count,2005-05-24 01:41:00,858,announcement_count,806,withdrawal_count,20
update_count,2005-05-24 01:42:00,2165,announcement_count,2013,withdrawal_count,108
update_count,2005-05-24 01:43:00,1283,announcement_count,1053,withdrawal_count,200
update_count,2005-05-24 01:44:00,748,announcement_count,678,withdrawal_count,21
update_count,2005-05-24 01:45:00,981,announcement_count,937,withdrawal_count,14
update_count,2005-05-24 01:46:00,770,announcement_count,706,withdrawal_count,13
update_count,2005-05-24 01:47:00,511,announcement_count,447,withdrawal_count,38
update_count,2005-05-24 01:48:00,736,announcement_count,629,withdrawal_count,65
update_count,2005-05-24 01:49:00,588,announcement_count,522,withdrawal_count,28
update_count,2005-05-24 01:50:00,509,announcement_count,442,withdrawal_count,23
update_count,2005-05-24 01:51:00,536,announcement_count,461,withdrawal_count,41
update_count,2005-05-24 01:52:00,2461,announcement_count,2371,withdrawal_count,50
update_count,2005-05-24 01:53:00,825,announcement_count,730,withdrawal_count,59
update_count,2005-05-24 01:54:00,394,announcement_count,306,withdrawal_count,45
update_count,2005-05-24 01:55:00,535,announcement_count,446,withdrawal_count,59
update_count,2005-05-24 01:56:00,529,announcement_count,481,withdrawal_count,11
update_count,2005-05-24 01:57:00,1022,announcement_count,949,withdrawal_count,30
update_count,2005-05-24 01:58:00,545,announcement_count,470,withdrawal_count,48
update_count,2005-05-24 01:59:00,570,announcement_count,507,withdrawal_count,13
update_count,2005-05-24 02:00:00,531,announcement_count,491,withdrawal_count,12
update_count,2005-05-24 02:01:00,778,announcement_count,715,withdrawal_count,16
update_count,2005-05-24 02:02:00,846,announcement_count,783,withdrawal_count,33
update_count,2005-05-24 02:03:00,790,announcement_count,710,withdrawal_count,32
update_count,2005-05-24 02:04:00,727,announcement_count,656,withdrawal_count,51
update_count,2005-05-24 02:05:00,754,announcement_count,636,withdrawal_count,64
update_count,2005-05-24 02:06:00,649,announcement_count,586,withdrawal_count,37
update_count,2005-05-24 02:07:00,1064,announcement_count,965,withdrawal_count,49
update_count,2005-05-24 02:08:00,609,announcement_count,542,withdrawal_count,39
update_count,2005-05-24 02:09:00,555,announcement_count,474,withdrawal_count,34
update_count,2005-05-24 02:10:00,628,announcement_count,531,withdrawal_count,69
update_count,2005-05-24 02:11:00,2051,announcement_count,1943,withdrawal_count,58
update_count,2005-05-24 02:12:00,662,announcement_count,556,withdrawal_count,78
update_count,2005-05-24 02:13:00,584,announcement_count,487,withdrawal_count,49
update_count,2005-05-24 02:14:00,527,announcement_count,479,withdrawal_count,19
update_count,2005-05-24 02:15:00,898,announcement_count,752,withdrawal_count,96
update_count,2005-05-24 02:16:00,1007,announcement_count,929,withdrawal_count,51
update_count,2005-05-24 02:17:00,670,announcement_count,579,withdrawal_count,41
update_count,2005-05-24 02:18:00,578,announcement_count,517,withdrawal_count,37
update_count,2005-05-24 02:19:00,594,announcement_count,521,withdrawal_count,21
update_count,2005-05-24 02:20:00,738,announcement_count,653,withdrawal_count,56
update_count,2005-05-24 02:21:00,1228,announcement_count,1088,withdrawal_count,96
update_count,2005-05-24 02:22:00,1255,announcement_count,1171,withdrawal_count,53
update_count,2005-05-24 02:23:00,847,announcement_count,749,withdrawal_count,50
update_count,2005-05-24 02:24:00,718,announcement_count,675,withdrawal_count,15
update_count,2005-05-24 02:25:00,681,announcement_count,556,withdrawal_count,77
update_count,2005-05-24 02:26:00,848,announcement_count,758,withdrawal_count,60
update_count,2005-05-24 02:27:00,1054,announcement_count,978,withdrawal_count,30
update_count,2005-05-24 02:28:00,508,announcement_count,443,withdrawal_count,36
update_count,2005-05-24 02:29:00,845,announcement_count,781,withdrawal_count,18
update_count,2005-05-24 02:30:00,698,announcement_count,613,withdrawal_count,53
update_count,2005-05-24 02:31:00,634,announcement_count,551,withdrawal_count,34
update_count,2005-05-24 02:32:00,599,announcement_count,496,withdrawal_count,79
update_count,2005-05-24 02:33:00,942,announcement_count,856,withdrawal_count,36
update_count,2005-05-24 02:34:00,707,announcement_count,600,withdrawal_count,79
update_count,2005-05-24 02:35:00,535,announcement_count,458,withdrawal_count,29
update_count,2005-05-24 02:36:00,508,announcement_count,428,withdrawal_count,47
update_count,2005-05-24 02:37:00,710,announcement_count,644,withdrawal_count,29
update_count,2005-05-24 02:38:00,1398,announcement_count,1041,withdrawal_count,320
update_count,2005-05-24 02:39:00,712,announcement_count,666,withdrawal_count,14
update_count,2005-05-24 02:40:00,605,announcement_count,508,withdrawal_count,52
update_count,2005-05-24 02:41:00,598,announcement_count,548,withdrawal_count,20
update_count,2005-05-24 02:42:00,1294,announcement_count,1229,withdrawal_count,18
update_count,2005-05-24 02:43:00,630,announcement_count,517,withdrawal_count,79
update_count,2005-05-24 02:44:00,755,announcement_count,679,withdrawal_count,34
update_count,2005-05-24 02:45:00,684,announcement_count,616,withdrawal_count,37
update_count,2005-05-24 02:46:00,757,announcement_count,629,withdrawal_count,82
update_count,2005-05-24 02:47:00,918,announcement_count,815,withdrawal_count,69
update_count,2005-05-24 02:48:00,571,announcement_count,476,withdrawal_count,55
update_count,2005-05-24 02:49:00,618,announcement_count,560,withdrawal_count,24
update_count,2005-05-24 02:50:00,813,announcement_count,732,withdrawal_count,37
update_count,2005-05-24 02:51:00,543,announcement_count,470,withdrawal_count,40
update_count,2005-05-24 02:52:00,577,announcement_count,514,withdrawal_count,17
update_count,2005-05-24 02:53:00,527,announcement_count,460,withdrawal_count,35
update_count,2005-05-24 02:54:00,588,announcement_count,527,withdrawal_count,19
update_count,2005-05-24 02:55:00,713,announcement_count,655,withdrawal_count,30
update_count,2005-05-24 02:56:00,578,announcement_count,480,withdrawal_count,47
update_count,2005-05-24 02:57:00,502,announcement_count,461,withdrawal_count,15
update_count,2005-05-24 02:58:00,556,announcement_count,451,withdrawal_count,57
update_count,2005-05-24 02:59:00,516,announcement_count,452,withdrawal_count,32
update_count,2005-05-24 03:00:00,1351,announcement_count,1271,withdrawal_count,38
update_count,2005-05-24 03:01:00,1019,announcement_count,938,withdrawal_count,45
update_count,2005-05-24 03:02:00,1409,announcement_count,1288,withdrawal_count,79
update_count,2005-05-24 03:03:00,1723,announcement_count,1592,withdrawal_count,99
update_count,2005-05-24 03:04:00,1328,announcement_count,1092,withdrawal_count,187
update_count,2005-05-24 03:05:00,1045,announcement_count,809,withdrawal_count,208
update_count,2005-05-24 03:06:00,1118,announcement_count,918,withdrawal_count,152
update_count,2005-05-24 03:07:00,865,announcement_count,664,withdrawal_count,175
update_count,2005-05-24 03:08:00,995,announcement_count,855,withdrawal_count,90
update_count,2005-05-24 03:09:00,684,announcement_count,592,withdrawal_count,62
